Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Regular price,Sale price,Categories,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Images
simple,DOG-FOOD-001,Premium Grain-Free Dog Food,1,1,visible,Our Premium Grain-Free Dog Food provides complete nutrition for your dog with high-quality protein sources and no fillers.,49.99,39.99,"Food & Treats > Dog Food",25,5,40,30,10,https://images.unsplash.com/photo-1568640347023-a616a30bc3bd?w=800
simple,DOG-FOOD-002,Puppy Growth Formula,1,0,visible,Specially formulated for growing puppies our Puppy Growth Formula supports healthy development and provides essential nutrients for young dogs.,34.99,29.99,"Food & Treats > Dog Food",30,4,35,25,8,https://images.unsplash.com/photo-1601758124510-52d02ddb7cbd?w=800
simple,DOG-FOOD-003,Senior Dog Wellness Blend,1,0,visible,Support your senior dog's health with our carefully crafted Wellness Blend featuring joint-supporting ingredients and balanced nutrition for aging dogs.,44.99,36.99,"Food & Treats > Dog Food",20,5,40,30,10,https://images.unsplash.com/photo-1589924691995-400dc9ecc119?w=800
simple,CAT-FOOD-001,Indoor Cat Complete Nutrition,1,1,visible,Formulated specifically for indoor cats this complete nutrition blend helps maintain healthy weight and reduces hairballs.,29.99,24.99,"Food & Treats > Cat Food",18,3,30,20,8,https://images.unsplash.com/photo-1604542031658-5799ca5d7936?w=800
simple,CAT-FOOD-002,Kitten First Nutrition,1,0,visible,Give your kitten the perfect start with our Kitten First Nutrition packed with DHA for brain development and essential nutrients for growth.,22.99,19.99,"Food & Treats > Cat Food",25,2,25,18,7,https://images.unsplash.com/photo-1536500152107-01ab1422f932?w=800
simple,BIRD-FOOD-001,Premium Seed Blend for Parakeets,1,0,visible,Our carefully selected seed blend provides essential nutrition for parakeets with a mix of seeds grains and dried fruits.,11.99,8.99,"Food & Treats > Bird Food",30,1,15,10,5,https://images.unsplash.com/photo-1552728089-57bdde30beb3?w=800
simple,TREATS-001,Dental Care Chew Sticks,1,1,visible,Help maintain your dog's dental health with our tasty Dental Care Chew Sticks designed to reduce tartar and freshen breath.,19.99,15.99,"Food & Treats > Treats & Snacks",40,0.5,15,5,3,https://images.unsplash.com/photo-1583337130417-3346a1be7dee?w=800
simple,TREATS-002,Crunchy Cat Treats Variety Pack,1,0,visible,Treat your feline friend to our Crunchy Cat Treats Variety Pack featuring three irresistible flavors cats love.,10.99,8.99,"Food & Treats > Treats & Snacks",35,0.2,10,5,3,https://images.unsplash.com/photo-1616668983570-a971956d8928?w=800
simple,TOY-001,Interactive Treat Puzzle,1,1,visible,Challenge your dog's mind with our Interactive Treat Puzzle. This engaging toy stimulates problem-solving skills while rewarding with treats.,24.99,19.99,"Toys & Accessories",25,0.8,30,30,8,https://images.unsplash.com/photo-1546491764-67a5b8d5b3ae?w=800
simple,TOY-002,Feather Teaser Wand,1,0,visible,Engage your cat's natural hunting instincts with our Feather Teaser Wand. The colorful feathers and unpredictable movements provide endless entertainment.,9.99,7.99,"Toys & Accessories",35,0.1,75,3,3,https://images.unsplash.com/photo-1526336179256-1347bdb255ee?w=800
